movie,sentence,score
더 퍼스트 슬램덩크,그냥…최고 세번봐도 또 보고싶다,10
더 퍼스트 슬램덩크,2023년 최고의 영화 정말 재밌어요,9
더 퍼스트 슬램덩크,90년대 슬램덩크 연재 당시 캐릭터 인기 순위가 생각이 나네요 일본도 마찬가지겠지만 한국도 정대만이 자주 상위권에 올라있었지만 한국에서 잠시 윤대협이 1위를 한 적이 있었습니다 그때만 해도 한국에서 농구가 인기가 엄청났기 때문에 농구를 하는 수 많은 농구인들이 윤대협 처럼 농구 하고 싶어 했죠 물론 모든 농구인들이 다 그런 건 아니지만 특히 농구 고수들에게 윤대협은 딱 닮고 싶은 캐릭터였습니다 일단 외모 농구 실력 그리고 가장 중요 한 것 바로 마인드 동료들을 배려 할 줄 알고 패배 했을때도 상대의 실력을 인정 할 줄 알며 농구를 즐기 줄 알며 승부 그 자체를 즐길 줄 아는 윤대협 코트 밖에서도 안에서도 여유와 즐기는 마인드를 장착 했던 윤대협 어릴 때 윤대협을 보면서 아 나도 저렇게 농구 하고 싶고 삶도 저런 삶을 살고 싶다라는 생각을 많이 했었는데 생각보다 쉽지는 않더군요ㅎ 그래도 영향을 많이 받아서 농구 할 때도 최대 한 즐기는 마인드를 갖고 했으며 상대를 배려했으며 진정 한 농구인이 되려 했습니다 근데 살면서 윤대협 같은 사람을 만나는게 쉽지 않더군요 이유는 윤대협 같은 캐릭터는 상위권에 속한 사람들이라 실 생활에서는 만나는게 정말 어렵다는 생각이네요ㅋ 진짜 상상속에서나 만화 속에서는 있을 법한 사람 잘 찾아보면 어딘가 있겠지만 저런 마인드와 외모를 가진 사람이 많지 않다는게 현실ㅎ 대한민국에 윤대협 같은 사람들만 있으면 진짜 바로 선진국 될 것 같은데 말이죠ㅋ 암튼 슬램덩크는 계속해서 후세 사람들에게도 전해내려줘야 하는 훌륭 한 만화라고 생각합니다 3-40대 사람들이 자식들에게 꼭 보여줬으면 하는 그리고 그 안에서 배움을 얻어 실생활에서도 올바르게  성장하게 만들어줬으면 하는 바램이네요ㅎ 슬램덩크는 정말 좋은 만화 입니다,10
더 퍼스트 슬램덩크,무난함. 딱 그정도.,7
더 퍼스트 슬램덩크,전후 역사상 농구 만화로는 최고다,10
더 퍼스트 슬램덩크,모든게 완벽했다....벌써 5회차,10
더 퍼스트 슬램덩크,기대 이상을 넘어선 감동입니다. 보기전에는 3D 애니의 거부감이 있었지만 이번 극장판은 3D가 정답이라는 생각까지 들게했네요. ,10
더 퍼스트 슬램덩크,아들 낳으면 북산고 보내겠습니다!!!,10
더 퍼스트 슬램덩크,이제 숨셔도 돼? 대박 숨멎을뻔,10
더 퍼스트 슬램덩크,너무 재밌다 옛날 ost안 나와서 좀 아쉬웠지만 새로운 ost도 좋았다 탑건 이후로 평가 처음 적어본다 강추,10
더 퍼스트 슬램덩크,가슴이 ㅈㄴ웅장해진다 ㄹㅇ 하 너무 잼ㅆ다 어떡하지?,10
더 퍼스트 슬램덩크,원작 잘 모르는데도 정말 숨죽이고 봤어요 ,10
더 퍼스트 슬램덩크,후속작을 기대하고 싶다. ,10
더 퍼스트 슬램덩크,클래식은 영원하다. 농놀 최고!! 뚫어 송태섭!!!!,10
더 퍼스트 슬램덩크,슬램덩크는 강백호가 주연인데 송태섭이 주연인것도 괜찮았습니다!ㅋ 어릴때  SBS에서 슬램덩크 방영 당시 백호가 채치수한테 고릴라라고 한거 정말 웃겼는데ㅋ,10
더 퍼스트 슬램덩크,마지막 1분은 진짜 감동그자체였습니다 ㅠㅠ,10
더 퍼스트 슬램덩크,굿… 최고의 영화였다…,10
더 퍼스트 슬램덩크,진심 애니보면서 소름돋은적은 처음이다…,10
더 퍼스트 슬램덩크,경기장 관람석에 앉아 있는 느낌입니다.,10
더 퍼스트 슬램덩크,진짜 개지림 꼭 봐야하는 영화,10
더 퍼스트 슬램덩크,재미있긴한데 그정도는 아닌데.. 왜 이렇게 난리에요 &amp;#39;-&amp;#39; ?,10
더 퍼스트 슬램덩크,진짜... 추억의향수를 극한까지 끌어올린 영화,10
더 퍼스트 슬램덩크,20년넘은 추억을 소환하는 마법같은 스토리와 주인공들. 감동주셔서 감사합니다.,10
더 퍼스트 슬램덩크,보면서 계속 심장뛰는 영화,10
더 퍼스트 슬램덩크,미친 영화….. 너무 감동 ㅎㅎ,10
더 퍼스트 슬램덩크,"관객들이 몰입할 준비를 하고 왔다는게 너무 놀랐어요. 솔솔솔 소리날 땐 숨도 안 쉬는 듯, 잘 봤다뿅, ㅋㅋ",10
더 퍼스트 슬램덩크,그냥 미쳣음 피가 끓는영화,10
더 퍼스트 슬램덩크,"작화, OST 모두 뛰어남",10
더 퍼스트 슬램덩크,내 마음에 깊은 파동의 슬램덩크,10
더 퍼스트 슬램덩크,첨본다는게 믿기지 않네 ㅋㅋ,10
더 퍼스트 슬램덩크,감동 포인트 마다 뭉글한 감동이 있었습니다.,10
더 퍼스트 슬램덩크,넘 재밌음혼을 쏙 빼네요,10
더 퍼스트 슬램덩크,ㅠㅠ 진짜 말이 필요없는.. 숨죽이며 봤네요..,10
더 퍼스트 슬램덩크,3D의 어색함 없이 원작의 감동을 그대로,10
더 퍼스트 슬램덩크,영화관에서 4번 울었다...이 시대에 벌수있어서 감사합니다,10
더 퍼스트 슬램덩크,눈물은 안나는데 뭉클하고 가슴뛰더라,10
더 퍼스트 슬램덩크,"이게 농놀이야.,.,.,..",10
더 퍼스트 슬램덩크,마치 옛친구를 다시 만나 오랜만에 다시 생생하게 곱씹어보는 그때의 그 추억. 감동.,9
더 퍼스트 슬램덩크,40대 중반 나이에 애니메이션 본다고 눈총받았지만 후회없는 선택이었다 ,10
더 퍼스트 슬램덩크,훌륭하다 거의 완벽한 극장판,10
더 퍼스트 슬램덩크,좀 지루하던데.. 나만 그런가?,4
더 퍼스트 슬램덩크,진짜 몰입감 쩔고 감동도 쩔고 만화책으로 몇번이고 다시봤던 산왕전을 애니로 볼 수 있어서 너무 행복했습니다.,10
더 퍼스트 슬램덩크,"옛날에 서태웅 좋아할때 친구가 하도 모라 그래서 ㅋ 서태웅 좋아한다고 말도 못했는데...아마 완성형 인간형에 대한 질투ㅋ?였을까??성장하는 강백호가 좋치, 서태웅은 재섭다며ㅜㅠ 근데 대형화면에...늘 가늘다고 생각한 이미지의 서태웅이 연필로 그려지면서 어슬렁 어슬렁 걸어나오는데 헉 그때 떨어진 심장이 어느 영화관에 있는지...다시 주으러 (주섬주섬) 가야겠다 ",10
더 퍼스트 슬램덩크,지렸다 지렸다 지렸다 지렸다 ,10
더 퍼스트 슬램덩크,클래스는 영원하다 감동했음,10
더 퍼스트 슬램덩크,언제적이야 ~ ㅋㅋㅋ~,1
더 퍼스트 슬램덩크,불알이 요동칠정도로 웅장한 감동,10
더 퍼스트 슬램덩크,"&amp;#39;무슨 슬램덩크야 ㅡㅡ&amp;#39; 라고 심드렁해 하는 20대중반 예비신부랑 같이 보았음 보기 전부터 궁금했음 어떤 내용일까 어떤식으로 연출 했을까 등등. 만화책n독 하신분들 아시겠지만 산왕전 마지막 30초?! 정도 대사 없이 빠르게 진행 하는데 그것을 어떻게 연출했을까 아니나 다를까, 다크나이트에서 조커가 하비덴트 죽이려는 그 지하터널씬 만큼이나 흡입력이 끝내줬다. 중간중간 만화처럼 흑백으로 처리한 씬도 있었고, 모든 슬램덩크 팬들의 염원이었던 마지막 하이파이브씬을 동영상으로 보았을때의 희열이란... ",10
더 퍼스트 슬램덩크,원작 만화에 대한 지식이 더 많았더라면 더 짜릿했을 것 같다,7
더 퍼스트 슬램덩크,진짜 존나 개쩜 슬램덩크 내용 모르고 봐도 개꿀잼,10
더 퍼스트 슬램덩크,퀄리티 좋은 버젼으로 보니 멋지네요... 만화책 안 보신 분들은 예습하시고 가시는 걸 추천...,10
더 퍼스트 슬램덩크,혼자 영화보기 처음인데.. 캐릭터중 송태섭을 좋아하는데.. 송태섭이 주인공이라 더 좋았음.. 이제 모레면 50인데.. 감동이구나,10
